sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,built_year,has_individual_heating,has_central_heating
50.0,40.0,2,1.0,3,561,105000,HouseType 1: Pisos,,,
103.0,,3,2.0,7,1108,265000,HouseType 4: Dúplex,,True,False
90.0,80.0,3,2.0,1,1174,290000,HouseType 1: Pisos,,,
66.0,,2,1.0,3,494,90000,HouseType 1: Pisos,,,
70.0,65.0,2,1.0,Bajo,423,75000,HouseType 1: Pisos,1973.0,True,False
60.0,55.0,2,1.0,2,646,125000,HouseType 1: Pisos,,True,False
101.0,,2,2.0,6,1081,255000,HouseType 1: Pisos,,,
75.0,,3,1.0,3,614,117300,HouseType 1: Pisos,,,
55.0,50.0,2,1.0,3,524,96600,HouseType 1: Pisos,1959.0,,
77.0,,3,1.0,3,621,119000,HouseType 1: Pisos,1960.0,True,False
56.0,,3,1.0,1,539,100000,HouseType 1: Pisos,1967.0,,
68.0,,3,1.0,2,526,97000,HouseType 1: Pisos,,,
72.0,65.0,3,1.0,Entreplanta exterior,517,95000,HouseType 1: Pisos,1965.0,True,False
70.0,,3,1.0,3,686,135000,HouseType 1: Pisos,,True,False
75.0,73.0,2,2.0,Bajo,901,195000,HouseType 1: Pisos,,True,False
120.0,105.0,3,1.0,1,901,195000,HouseType 1: Pisos,1970.0,,
91.0,,2,2.0,1,964,215000,HouseType 1: Pisos,,True,False
95.0,84.0,2,1.0,2,634,122000,HouseType 1: Pisos,1967.0,True,False
61.0,,3,1.0,1,646,125000,HouseType 1: Pisos,,True,False
73.0,,2,1.0,1,625,120000,HouseType 1: Pisos,,,
66.0,,3,1.0,1,508,93000,HouseType 1: Pisos,,True,False
68.0,57.0,2,1.0,4,646,125000,HouseType 1: Pisos,,True,False
70.0,,3,1.0,3,561,104840,HouseType 1: Pisos,1968.0,True,False
42.0,,4,1.0,,521,95900,HouseType 1: Pisos,,,
54.0,,3,1.0,Bajo,403,71000,HouseType 1: Pisos,,,
56.0,,3,1.0,1,561,105000,HouseType 1: Pisos,1967.0,,
100.0,,4,1.0,1,798,165000,HouseType 1: Pisos,,,
125.0,116.0,4,2.0,Entreplanta exterior,827,173000,HouseType 1: Pisos,,False,True
54.0,,3,1.0,Bajo,403,71000,HouseType 1: Pisos,1965.0,,
130.0,,4,2.0,2,809,168000,HouseType 1: Pisos,,True,False
68.0,62.0,2,1.0,Entreplanta exterior,539,99900,HouseType 1: Pisos,,,
85.0,80.0,3,1.0,3,658,128000,HouseType 1: Pisos,1975.0,,
75.0,70.0,3,1.0,3,625,120000,HouseType 1: Pisos,1974.0,True,False
80.0,77.0,2,1.0,1,517,95000,HouseType 1: Pisos,,,
64.0,,2,1.0,2,583,110000,HouseType 1: Pisos,,,
69.0,67.0,4,1.0,3,475,85900,HouseType 1: Pisos,,,
115.0,,4,1.0,1,867,184900,HouseType 1: Pisos,,True,False
70.0,,3,1.0,2,715,142500,HouseType 1: Pisos,,,
56.0,,2,1.0,4,579,109000,HouseType 1: Pisos,1965.0,True,False
90.0,,2,1.0,4,705,140000,HouseType 1: Pisos,,True,False
75.0,,3,1.0,3,614,117300,HouseType 1: Pisos,,,
